,id_municipio,id_item,codigo_resposta,validated_at,justificativa
36,29,45,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:52.388832,Item ainda não validado
37,29,46,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:52.416597,Item ainda não validado
38,29,47,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:52.439497,Item ainda não validado
39,29,48,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:52.465441,Item ainda não validado
40,29,49,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:52.528604,Item ainda não validado
41,29,50,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:52.560353,Item ainda não validado
42,29,51,OK_VALIDADO,2023-02-02 15:37:52.621362,Item validado com sucesso. Quantidade de entradas encontradas e analizadas que possuem o campo objeto do contrato válido: 100
43,29,52,OK_VALIDADO,2023-02-02 15:37:52.693596,Item validado com sucesso. Quantidade de entradas encontradas e analizadas que possuem o campo valor do contrato válido: 100
44,29,53,OK_VALIDADO,2023-02-02 15:37:52.713516,Item validado com sucesso. Quantidade de entradas encontradas e analizadas que possuem o campo favorecido do contrato válido: 100
45,29,54,OK_VALIDADO,2023-02-02 15:37:52.741982,Item validado com sucesso. Quantidade de entradas encontradas e analizadas que possuem o campo numero ou ano do contrato do contrato válido: 100
46,29,55,OK_VALIDADO,2023-02-02 15:37:52.769365,Item validado com sucesso. Quantidade de entradas encontradas e analizadas que possuem o campo vigência do contrato válido: 100
47,29,56,OK_VALIDADO,2023-02-02 15:37:52.802127,Item validado com sucesso. Quantidade de entradas encontradas e analizadas que possuem o campo licitação de origem do contrato válido: 2741
48,29,57,OK_VALIDADO,2023-02-02 15:37:52.831321,"Item validado com sucesso. Os palavras chaves ['Detalhamento do Contrato', 'Itens Contratados', 'Pagamentos', 'Termos Aditivos', 'Documentos'] estão presentes 500 vezes em páginas de contratos "
49,29,58,ERRO_VALIDADO,2023-02-02 15:37:52.873932,Validação informou que o item coletado nao atende aos requisitos. Não foram encontrados arquivos de contratos em formato aberto.
50,29,59,OK_VALIDADO,2023-02-23 17:37:38.523764,"Item validado com sucesso. Quantidade de entradas encontradas e analizadas: 319.
        Quantidade de entradas que possuem o campo data de celebração válido: 118"
51,29,60,OK_VALIDADO,2023-02-23 17:37:38.592360,"Item validado com sucesso. Quantidade de entradas encontradas e analizadas: 319.
        Quantidade de entradas que possuem o campo objeto válido: 118"
52,29,61,ERRO_VALIDADO,2023-02-23 17:37:38.647248,"Validação informou que o item coletado nao atende aos requisitos. Quantidade de entradas encontradas e analizadas: 319.
        Quantidade de entradas que possuem o campo conveniados válido: 0"
53,29,62,OK_VALIDADO,2023-02-23 17:37:38.690494,"Item validado com sucesso. Quantidade de entradas encontradas e analizadas: 319.
        Quantidade de entradas que possuem o campo aditivos válido: 77"
54,29,63,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:53.047600,Item ainda não validado
55,29,64,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:53.115494,Item ainda não validado
56,29,65,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:53.154912,Item ainda não validado
57,29,66,ERRO_VALIDADO,2023-02-02 15:37:53.184122,"Validação informou que o item coletado nao atende aos requisitos. Quantidade de entradas encontradas e analizadas que possuem ""Fase"": 0"
58,29,67,ERRO_VALIDADO,2023-02-02 15:37:53.208908,"Validação informou que o item coletado nao atende aos requisitos. Quantidade de entradas encontradas e analizadas que possuem ""Classificação"": 0"
59,29,68,ERRO_VALIDADO,2023-02-02 15:37:53.249029,Validação informou que o item coletado nao atende aos requisitos. Quantidade de entradas encontradas e analizadas que possuem nomeação no campo 'Tipo do Documento': 0
60,29,69,ERRO_VALIDADO,2023-02-02 15:37:53.275440,"Validação informou que o item coletado nao atende aos requisitos. Quantidade diferente de entradas encontradas e analizadas que possuem ""edital"" no campo ""Tipo do Documento"": 0"
61,29,70,ERRO_VALIDADO,2023-02-02 15:37:53.307978,Validação informou que o item coletado nao atende aos requisitos. Quantidade diferente de entradas encontradas e analizadas que possuem referencia a recursos ou respectivas decisões no campo 'Tipo do Documento': 0
62,29,71,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:53.328160,Item ainda não validado
63,29,72,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:53.350267,Item ainda não validado
64,29,73,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:53.444436,Item ainda não validado
65,29,74,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:53.472397,Item ainda não validado
66,29,75,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:53.496002,Item ainda não validado
67,29,76,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:53.512563,Item ainda não validado
68,29,77,ITEM_NAO_DISPONIVEL,2023-02-02 15:37:53.552332,Item ainda não validado
69,29,78,NAO_LOCALIZADO,,Dados não foram localizados no template
70,29,79,NAO_LOCALIZADO,,Dados não foram localizados no template
71,29,80,NAO_LOCALIZADO,,Dados não foram localizados no template
72,29,81,NAO_LOCALIZADO,,Dados não foram localizados no template
73,29,82,NAO_LOCALIZADO,,Dados não foram localizados no template
74,29,83,NAO_LOCALIZADO,,Dados não foram localizados no template
75,29,84,OK_VALIDADO,2023-04-12 12:49:20.196097,Item validado com sucesso. Planilha consolidada: Encontrado agentes políticos. Encontrado servidores efetivos. Encontrado compo para pesquisa. 
76,29,85,OK_VALIDADO,2023-04-05 13:25:57.603832,Item validado com sucesso. Registro de auxílios.Não encontrado verbas indenizatórias. Não encontrado ajuda de custos. Não encontrado jetons. Encontrado vantagens pecuniárias. 
77,29,86,NAO_LOCALIZADO,,Dados não foram localizados no template
78,29,87,OK_VALIDADO,2023-04-12 12:49:20.180922,"Item validado com sucesso. É possível pesquisar por mês e gerar um relatório csv, pdf ou txt dos resultados da consulta."
79,29,88,ERRO_VALIDADO,2023-04-12 12:49:20.133387,Validação informou que o item coletado nao atende aos requisitos. Registro dos proventos de aposentadoria.Não encontrado nome. Não encontrado cargo. Não encontrado remuneração. Não encontrado abate teto. Não encontrado remuneração retirando o abate teto. Não encontrado tipo de vínculo. 
80,29,89,ERRO_VALIDADO,2023-04-12 12:49:20.164120,Validação informou que o item coletado nao atende aos requisitos. Registro dos proventos de pensão.
81,29,90,OK_VALIDADO,2023-02-02 15:37:53.610955,Item validado com sucesso. Quantidade de entradas encontradas e analizadas: 714. Quantidade de entradas que possuem o nome do beneficiário do empenho válido: 100
82,29,91,OK_VALIDADO,2023-02-02 15:37:53.679638,Item validado com sucesso. Quantidade de entradas encontradas e analizadas: 714. Quantidade de entradas que possuem o Cargo/Função do empenho válido: 95
83,29,92,OK_VALIDADO,2023-02-02 15:37:53.778176,Item validado com sucesso. Quantidade de entradas encontradas e analizadas: 714. Quantidade de entradas que possuem os valores recebidos do empenho válido: 12
84,29,93,ERRO_VALIDADO,2023-02-02 15:37:53.838395,Validação informou que o item coletado nao atende aos requisitos. Quantidade de entradas encontradas e analizadas: 714. Quantidade de entradas que possuem o periodo da viagem do empenho válido: 0
85,29,94,ERRO_VALIDADO,2023-02-02 15:37:53.875080,Validação informou que o item coletado nao atende aos requisitos. Quantidade de entradas encontradas e analizadas: 714. Quantidade de entradas que possuem a destino da viagem do empenho válido: 0
86,29,95,OK_VALIDADO,2023-02-02 15:37:53.899363,Item validado com sucesso. Quantidade de entradas encontradas e analizadas: 714. Quantidade de entradas que possuem a motivo da viagem do empenho válido: 100
87,29,96,ERRO_VALIDADO,2023-02-02 15:37:53.930564,Validação informou que o item coletado nao atende aos requisitos. Quantidade de entradas encontradas e analizadas: 714. Quantidade de entradas que possuem o numero de diarias do empenho válido: 0
88,29,97,OK_VALIDADO,2023-03-02 17:07:52.745167,Item validado com sucesso. Foram encontrados 38 pdfs na coleta que mencionam Lei Orçamentária Anual e 10 menções em páginas html.
89,29,98,OK_VALIDADO,2023-03-02 17:07:52.761530,Item validado com sucesso. Foram encontrados 22 pdfs na coleta que mencionam Lei de Diretrizes Orçamentárias e 7 menções em páginas html.
90,29,99,OK_VALIDADO,2023-03-02 17:07:52.792627,Item validado com sucesso. Foram encontrados 36 pdfs na coleta que mencionam Plano Plurianual e 4 menções em páginas html.
91,29,100,ERRO_VALIDADO,2023-03-02 17:07:52.811868,Validação informou que o item coletado nao atende aos requisitos. Foram encontrados 0 pdfs na coleta que mencionam Ata / vídeo / informações sobre as audiências públicas obrigatórias e 0 menções em páginas html.
92,29,101,ERRO_VALIDADO,2023-03-02 17:07:52.830657,Validação informou que o item coletado nao atende aos requisitos. Foram encontrados 0 pdfs na coleta que mencionam Relatórios (quadrimestrais) de gestão fiscal e 0 menções em páginas html.
93,29,102,ERRO_VALIDADO,2023-03-02 17:07:52.847309,Validação informou que o item coletado nao atende aos requisitos. Foram encontrados 0 pdfs na coleta que mencionam Relatórios de Execução Orçamentária e 0 menções em páginas html.
94,29,103,ERRO_VALIDADO,2023-03-02 17:07:52.868311,Validação informou que o item coletado nao atende aos requisitos. Foram encontrados 0 pdfs na coleta que mencionam Prestação de contas e 0 menções em páginas html.
95,30,1,ERRO_VALIDADO,2023-04-18 14:24:48.611753,Validação informou que o item coletado nao atende aos requisitos. Explain - Quantidade de arquivos analizados: 12 . Quantidade de páginas que possuem um link para o portal de transparencia do município: 0
96,30,2,OK_VALIDADO,2023-04-18 14:24:48.638549,Item validado com sucesso. Quantidade páginas que possuem texto explicativo sobre a Lei de Acesso a Informação: 10
